,date,code,open,high,low,close,volume,amount
325,2017/9/27,sh.600519,508.92,511.03,506.07,508.21,1667111,847627355
326,2017/9/28,sh.600519,507.2,520.2,507.15,518.46,2596985,1340236075
327,2017/9/29,sh.600519,516,525.88,515.5,517.64,2243622,1166403112
328,2017/10/9,sh.600519,524.54,535.55,520.1,527.77,3489129,1844481600
329,2017/10/10,sh.600519,527.05,540.49,527.01,540.06,3100644,1662690453
330,2017/10/11,sh.600519,538.1,551.25,538.1,545.54,3340643,1824898708
331,2017/10/12,sh.600519,545,547.5,540.18,544.09,1964622,1067464518
332,2017/10/13,sh.600519,545,556.6,542.01,556.15,2785842,1534212916
333,2017/10/16,sh.600519,559.99,566.66,555.87,560.69,2990901,1676809992
334,2017/10/17,sh.600519,560.97,560.97,554,556.73,2097712,1168943280
335,2017/10/18,sh.600519,554.2,562.59,554.2,560.72,1917865,1072237528
336,2017/10/19,sh.600519,561,585.15,560.72,582.6,4065882,2338901855
337,2017/10/20,sh.600519,581,581,571.76,574.33,3153433,1812957242
338,2017/10/23,sh.600519,574.92,580.5,568,573.41,2377182,1362900409
339,2017/10/24,sh.600519,572,573.8,563.61,567.33,3127428,1775645971
340,2017/10/25,sh.600519,569.75,571.68,562.06,565.67,2507600,1418395221
341,2017/10/26,sh.600519,605,613,591.91,605.09,11543497,6957625411
342,2017/10/27,sh.600519,602.11,655,600.03,649.63,8438379,5284485766
343,2017/10/30,sh.600519,643.05,644,621,622.08,8100786,5099041747
344,2017/10/31,sh.600519,622.01,627.6,611.88,618.03,5187568,3206280600
345,2017/11/1,sh.600519,620.88,631.54,619.22,623.01,4343525,2712016939
346,2017/11/2,sh.600519,626.95,629.78,621,626.92,3424973,2144671943
347,2017/11/3,sh.600519,628.65,643.44,628.65,639.17,4818897,3075651167
348,2017/11/6,sh.600519,641.5,657.62,640.2,653.06,4851398,3153638704
349,2017/11/7,sh.600519,650.58,657.15,638.18,642.07,5556485,3592238407
350,2017/11/8,sh.600519,642.33,654.5,642.33,650.38,4395194,2855374070
351,2017/11/9,sh.600519,648,654.15,644.61,650.07,3364113,2183815390
352,2017/11/10,sh.600519,650.43,683.4,650.43,677.95,7407860,4967970730
353,2017/11/13,sh.600519,680,692.78,675.8,687.88,4986984,3402794002
354,2017/11/14,sh.600519,687.14,687.22,677.35,678.75,4636671,3159112664
355,2017/11/15,sh.600519,678.75,689.99,674,688.08,4503633,3074244081
356,2017/11/16,sh.600519,686.01,719.96,686.01,719.11,6071632,4299283186
357,2017/11/17,sh.600519,696,709,677.77,690.25,12386124,8548747991
358,2017/11/20,sh.600519,676.8,685.6,660,679.15,8830582,5954131851
359,2017/11/21,sh.600519,669,688.8,662.02,677.25,9601651,6491134446
360,2017/11/22,sh.600519,677,688,650,650.52,12849826,8528143403
